,job,money,skill,ink,area,jobDes,inkDes
247,linux运维工程师,12k-18k,软件服务｜咨询 科技金融 JAVA Python Shell Unix,中电金信,[西安·高新技…],“周末双休，法定节假日，”,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
248,服务器运维工程师(系统技术)-CSIG全资子公司,30k-60k,游戏 社交媒体,腾讯,[深圳·南山区],"“互联网大厂,公司氛围好”","游戏,社交媒体,音频｜视频媒体 / 上市公司 / 2000人以上"
249,中级系统运维顾问,10k-16k,物流平台 电商平台 JAVA MySQL,上海通天晓信息技术有限公司,[上海·宝山区],“五险一金、团建旅游、下午茶小零食、奖金”,"物流平台,IT技术服务｜咨询 / A轮 / 150-500人"
250,dba运维,9k-13k,IT技术服务｜咨询 软件服务｜咨询 PostgreSQL(PSQL) MySQL DB2,赛意,[武汉·洪山区],“年终奖，项目补贴”,IT技术服务｜咨询 / 上市公司 / 2000人以上
251,31504-腾讯云容器运维工程师（CSIG全资子公司）,30k-60k,游戏 社交媒体,腾讯,[深圳·南山区],"“互联网大厂,公司氛围好”","游戏,社交媒体,音频｜视频媒体 / 上市公司 / 2000人以上"
252,运维工程师,20k-27k,物联网 软件服务｜咨询 C语言 Unix 服务器配置 Nginx LVS,微创软件,[南京·小行],“双休等”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
253,运维⼯程师,13k-20k,IT技术服务｜咨询 JAVA Python Linux Ansible SaltStack,NCS,[成都·高新区],“六险一金 弹性工作 带薪年假”,"IT技术服务｜咨询,数据服务｜咨询 / 不需要融资 / 500-2000人"
254,业务运维工程师,13k-20k,软件服务｜咨询 Shell ORACLE Linux 应用运维,亚信,[长沙·望岳],“上市公司，福利待遇丰厚，学习成长空间大”,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上"
255,业务运维工程师,13k-20k,软件服务｜咨询 Shell MySQL Linux 应用运维,亚信,[北京·太平桥],“上市公司，福利待遇丰厚，学习成长空间大”,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上"
256,高级大数据运维-北京(J10699),20k-30k,软件服务｜咨询 IT技术服务｜咨询 Linux,神策数据,[北京·海淀区],“团队实力强劲”,数据服务｜咨询 / D轮及以上 / 500-2000人
257,运维开发工程师,15k-20k,IT技术服务｜咨询 Linux Windows,胜通和,[上海·浦东新…],“薪资高 福利好 工作稳定”,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 不需要融资 / 2000人以上"
258,系统运维工程师-00695,9k-12k,IT技术服务｜咨询 Linux,紫光云,[天津·滨海新…],“提供免租两人间公寓，独立厨卫，家具家电齐全”,"移动互联网,数据服务 / 不需要融资 / 500-2000人"
259,运维工程师,6k-9k,软件服务｜咨询 IT技术服务｜咨询 Shell Linux Kubernetes Docker,名通科技,[广州·元岗],“14薪/周末双休/六险一金”,移动互联网 / 不需要融资 / 150-500人
260,运维工程师,18k-35k,IT技术服务｜咨询 Windows Linux AWS,高域海汇,[北京·朝阳区],“稳定，双休”,软件服务｜咨询 / 不需要融资 / 150-500人
261,业务运维工程师,25k-32k,Tomcat Linux MySQL 云平台运维,skyroam,[深圳·南山区],“发展前景”,IT技术服务｜咨询 / C轮 / 150-500人
262,运维工程师,10k-18k,科技金融 Python,中电金信,[广州·珠江新…],“假期多，六险一金”,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
263,运维工程师,15k-25k,信息安全 网络通信 Linux,微位科技,[深圳·科技园],“国家政策标准研究项目”,移动互联网 / B轮 / 50-150人
264,高级系统运维工程师,13k-25k,IT技术服务｜咨询 网络通信 Shell MySQL Linux Unix TCP/IP,润通丰华,[北京·海淀区],“五险一金、周末双休、餐补话补、定期体检”,IT技术服务｜咨询 / 不需要融资 / 50-150人
265,运维工程师,15k-20k,工具类产品 软件服务｜咨询 MySQL Linux TCP/IP Kubernetes(K8s),壹向,[杭州·湖墅南…],“五险一金，扁平管理，全员期权，免费中餐”,生活服务 / 不需要融资 / 50-150人
266,SRE 运维专家,40k-60k,软件服务｜咨询 JAVA Python MySQL Kubernetes(K8s),领星,[深圳·西丽],“高速发展 管理扁平 氛围open”,"软件服务｜咨询,数据服务｜咨询 / C轮 / 500-2000人"
267,运维负责人(J10481),40k-70k,内容社区,快看漫画,[北京·小关],“业务前景好”,"影视｜动漫,内容社区 / D轮及以上 / 500-2000人"
268,云计算运维工程师,15k-20k,IT技术服务｜咨询 物联网 JAVA TCP/IP IPX/SPX Kubernetes(K8s),丰沃数码,[北京·展览路],“五险一金”,专业服务｜咨询 / 未融资 / 150-500人
269,安全运维驻场工程师,15k-20k,网络通信 Linux TCP/IP Kubernetes(K8s),丰沃数码,[西安·土门],“五险一金 不加班”,专业服务｜咨询 / 未融资 / 150-500人
270,运维平台产品经理,15k-30k,短视频 内容社区 中后台产品 TO B,字节跳动,[上海·徐汇区],“六险一金，团队氛围好，晋升空间大，带薪休假”,"内容资讯,短视频 / D轮及以上 / 2000人以上"
271,运维开发工程师,18k-30k,工具类产品 游戏 Python Swam Docker Zabbix Kubernetes(K8s),迅游网络,[北京·朝阳区],“环境优美、氛围欢乐、带薪游戏”,"工具类产品,游戏 / 上市公司 / 150-500人"
272,运维工程师,15k-25k,信息安全 网络通信 Linux,微位科技,[广州·黄埔区],“国家政策标准研究项目”,移动互联网 / B轮 / 50-150人
273,桌面运维工程师,10k-15k,金融业 Windows helpdesk,赢胜数科,[上海·曹路],“五险一金 周末双休 带薪年假”,IT技术服务｜咨询 / 上市公司 / 150-500人
274,openstack运维工程师,10k-20k,数据服务｜咨询 信息安全 Spring JAVA Python,国海智达投资咨询,[北京·牡丹园],“五险一金、双休”,"企业服务,工具 / 未融资 / 150-500人"
275,运维工程师,10k-15k,IT技术服务｜咨询 软件服务｜咨询 JAVA Linux Kubernetes(K8s),中科软,[北京·太平桥],“上市公司”,IT技术服务｜咨询 / 上市公司 / 2000人以上
