,job,money,skill,ink,area,jobDes,inkDes
218,跨平台框架开发工程师,30k-60k,C语言 C++ 小程序开发 iOS Android,字节跳动,[北京·海淀区],"“下午茶,团队氛围好,晋升空间大”","内容资讯,短视频 / D轮及以上 / 2000人以上"
219,Android研发工程师-解决方案,25k-50k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
220,Android研发工程师-抖音,25k-50k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
221,广告系统-客户端研发技术专家-Android,40k-80k,扁平管理 弹性工作 就近租房补贴 六险一金,字节跳动,[深圳·南山区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
222,客户端资深开发工程师 - 抖音 DevOps 方向,30k-60k,后端开发,字节跳动,[杭州·余杭区],"“下午茶,六险一金,扁平管理,用户过亿”","内容资讯,短视频 / D轮及以上 / 2000人以上"
223,资深Android研发工程师 — 抖音商业化,40k-80k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
224,Android研发工程师-抖音社交,30k-60k,JAVA,字节跳动,[上海·闵行区],"“下午茶,健身瑜伽,六险一金,团队氛围好”","内容资讯,短视频 / D轮及以上 / 2000人以上"
225,Android研发工程师（网络优化）-抖音基础技术,30k-60k,后端开发,字节跳动,[北京·海淀区],"“下午茶,六险一金,团队氛围好,带薪休假”","内容资讯,短视频 / D轮及以上 / 2000人以上"
226,Android开发高级工程师,20k-40k,后端开发,字节跳动,[北京·海淀区],"“弹性工作,免费三餐,五险一金,租房补贴”","内容资讯,短视频 / D轮及以上 / 2000人以上"
227,Android研发工程师 - 抖音（成都）,25k-50k,移动端,字节跳动,[成都·武侯区],"“六险一金,弹性工作,免费三餐,租房补贴”","内容资讯,短视频 / D轮及以上 / 2000人以上"
228,iOS研发工程师- 抖音（成都）,25k-50k,移动端,字节跳动,[成都·武侯区],"“六险一金,股票期权,弹性工作,免费三餐”","内容资讯,短视频 / D轮及以上 / 2000人以上"
229,Android开发工程师 — 抖音直播,30k-60k,后端开发,字节跳动,[广州·天河区],"“团队氛围好,扁平管理,大牛带队”","内容资讯,短视频 / D轮及以上 / 2000人以上"
230,iOS开发工程师 — 抖音直播,30k-60k,后端开发,字节跳动,[广州·天河区],"“团队氛围好,扁平管理,大牛带队”","内容资讯,短视频 / D轮及以上 / 2000人以上"
