,job,money,skill,ink,area,jobDes,inkDes
162,嵌入式硬件工程师(J10662),15k-30k,IT技术服务｜咨询 Python,联通数字科技有限公司,[南京·秦淮区],“五险一金、双休、国企”,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
163,结构设计工程师,7k-10k,物联网 智能硬件,江苏北斗研究院,[南京·浦口区],“五险一金 地铁3号线”,数据服务 / 不需要融资 / 50-150人
164,硬件工程师,12k-20k,新能源汽车制造,微创软件,[苏州·工业园…],“五险一金 不加班 有班车 双休”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
165,BIM研发工程师（建筑/结构/机电）,11k-20k,房地产｜建筑｜物业 基础业务产品,华阳国际城市科技,[深圳·福田区],"“班车餐补,周末双休,上市集团,15+年假”",IT技术服务｜咨询 / 上市公司 / 2000人以上
166,单车结构设计工程师(J220606017),30k-50k,滴滴,滴滴,[杭州·西湖区],“发展空间大、团队氛围nice”,旅游｜出行 / 不需要融资 / 2000人以上
167,硬件工程师,15k-30k,Cadence,北京中创视讯科技有限公司,[北京·西三旗],“一流的技术团队，广阔的发展空间”,其他 / 未融资 / 50-150人
168,硬件产品测试工程师,8k-15k,智能硬件 物联网 C++ SQL,农博创新NBI,[深圳·西丽],“下午茶 团建 五险一金 双休”,智能硬件 / 不需要融资 / 50-150人
169,硬件工程师（3D视觉工业相机）,10k-20k,智能硬件 人工智能服务 信号分析仪 Cadence 高速电路 3D成像 机器人视觉,迁移科技,[北京·西三旗],"“清华浙大团队, 3D视觉, 工业机器人智能控制”",智能硬件 / A轮 / 50-150人
170,初级硬件工程师,5k-8k,人工智能服务 物联网 C语言 Linux Android MCU 万用表,大气候,[广州·天河区],“弹性工作、带薪年假、入职购五险一金等”,"数据服务｜咨询,新零售,农林牧渔 / 不需要融资 / 50-150人"
171,高级硬件工程师,20k-35k,智能硬件 制造业 示波器 orCAD Protel Allegro,深圳市火乐科技发展有限公司,[深圳·南山区],“技术氛围浓厚 行业独角兽”,"电商平台,智能硬件,制造业 / D轮及以上 / 150-500人"
