,tag,job,low_wages,hight_wages,year_wages,city,ink,staff,skill,jobDes,inkDes
793,2,中级web前端开发工程师,8.0,14.0,132.0,绵阳,四川兴政,500,"IT,JavaScript,HTML,Vue,React,native",工作气氛佳,"数据服务,咨询,人工智能服务,物联网,未融资"
794,2,Web前端工程师,15.0,30.0,270.0,杭州,ZOOM,2000,"IT,JavaScript,React,Angular,Javascript","股票期权,六险一金,弹性工作,硅谷培训","软件服务,咨询,IT技术服务,咨询,上市公司"
795,2,web前端开发工程师,16.0,25.0,246.0,上海,薪海科技,150,"IT,JavaScript,HTML,Vue","周末双休,加班补贴,扁平化,晋升渠道","科技金融,A轮"
796,2,web前端工程师,9.0,12.0,126.0,南京,金证睿服,2000,"IT,JavaScript,Angular,React,Vue",项目稳定,"软件服务,咨询,上市公司"
797,2,互联网业务-投教web前端开发工程师,18.0,35.0,318.0,深圳,富途,2000,"HTML,CSS,JavaScript,Angular,React","上市金融科技龙头,福利好,学金融投资知识","科技金融,上市公司"
798,2,web前端开发工程师,15.0,25.0,240.0,北京,盛扬信远,500,"IT,JavaScript,Html,React,Vue","团队年轻活力,行业领先者,发展前景好","企业服务,教育,未融资"
799,2,web前端开发工程师,18.0,30.0,288.0,上海,万得,2000,"JavaScript,HTML,CSS","发展潜力大,金融大数据龙头企业","数据服务,咨询,不需要融资"
800,2,前端开发工程师,15.0,23.0,228.0,杭州,刀豆网络,50,"Html,Web","团队年轻,五险一金,双休,下午茶,加班少","电商,文娱丨内容,A轮"
801,2,前端开发工程师,15.0,20.0,210.0,深圳,零点星,150,"IT,Html,Vue","升职空间大,弹性工作时间,以结果为导向","文娱丨内容,广告营销,A轮"
802,2,Web前端开发工程师,8.0,16.0,144.0,武汉,半云科技,500,"IT,JavaScript,Html,React,native","五险一金,带薪年假,定期体检,节日福利","人工智能服务,A轮"
803,2,web前端开发工程师,25.0,35.0,360.0,上海,每平每屋设计家,500,"JavaScript,TypeScript,CAD,WebGL","阿里控股,薪酬有竞争力,福利好,团队氛围轻松","新零售,工具类产品,不需要融资"
804,2,web前端开发工程师,15.0,30.0,270.0,北京,北京中创视讯科技有限公司,150,"JavaScript,TypeScript,XML","一流的研发团队,广阔的发展空间","其他,未融资"
805,2,中级web前端开发工程师,15.0,25.0,240.0,上海,畅岑科技,50,"Html,Angular","带薪年假,周末双休,节日福利","IT技术服务,咨询,软件服务,咨询,不需要融资"
806,2,（武汉）web前端开发,11.0,18.0,174.0,武汉,软通动力,2000,"IT,Vue,React,Angular,JavaScript","项目氛围好,岗位有发展,稳定性好","IT技术服务,咨询,不需要融资"
807,2,web前端开发工程师,12.0,20.0,192.0,北京,启众软件,50,IT,"稳定,氛围好","IT技术服务,咨询,软件服务,咨询,数据服务,咨询,未融资"
808,2,web前端工程师,8.0,15.0,138.0,成都,中科智加,150,"HTML,CSS,JavaScript,Vue,Redux","八险一金,公积金缴纳比例高","人工智能服务,数据服务,咨询,不需要融资"
809,2,web前端开发,12.0,24.0,216.0,广州,联通（广东）产业互联网...,2000,"IT,JavaScript,HTML,React,Vue",成长快,"物联网,不需要融资"
810,2,WEB前端开发工程师（VUE）-人力外包岗,12.0,24.0,216.0,北京,中科软,2000,IT,"科技金融,工作稳定","IT技术服务,咨询,上市公司"
811,2,web前端开发工程师,15.0,20.0,210.0,深圳,一页科技,2000,IT,周末双休,"IT技术服务,咨询,未融资"
812,2,高级web前端开发工程师,20.0,35.0,330.0,上海,捷晓信息科技,2000,,"五险一金,薪","软件服务,咨询,数据服务,咨询,物流平台,未融资"
813,2,web前端工程师,20.0,40.0,360.0,深圳,其域创新,150,"IT,JavaScript,Web,Three,js","高效团队,六险一金,股票期权","IT技术服务,咨询,人工智能服务,天使轮"
814,2,web前端开发工程师,16.0,22.0,228.0,上海,易居房友,2000,"TypeScript,React,Node,js","上市公司,平台大,福利好","居住服务,上市公司"
815,2,UE/Web前端开发工程师,12.0,17.0,174.0,成都,成都聚思力信息技术有限公司,2000,"IT,JavaScript,Redux,React,ES","天年假,医疗报销,旅游津贴","IT技术服务,咨询,上市公司"
816,2,web前端开发工程师（免费住宿，五险一金，上市背景）,11.0,17.0,168.0,太原,屹通信息,2000,Vue,"免费住宿,上市背景,报销路费,薪酬高于市场","金融,数据服务,上市公司"
817,2,web前端开发工程师,12.0,18.0,180.0,广州,CLPS,2000,"angular,vue,Roe","外企,六险一金,入职体检","软件服务,咨询,上市公司"
818,2,web前端开发工程师,10.0,20.0,180.0,长沙,水羊,2000,"Vue,JavaScript,uniapp","薪酬福利好,学习成长快","新零售,电商平台,上市公司"
